YY,MM,RR
1967,5,10.2377358491
1967,5,-3.9622641509
1967,5,4.1377358491
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,73.3377358491
1967,5,-3.9622641509
1967,5,2.6377358491
1967,5,-0.5622641509
1967,5,-3.6622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,-3.9622641509
1967,5,17.1377358491
1967,6,12.6377358491
1967,6,-2.3622641509
1967,6,82.2377358491
1967,6,94.1377358491
1967,6,149.9377358491
1967,6,208.9377358491
1967,6,227.4377358491
1967,6,127.4377358491
1967,6,8.3377358491
1967,6,26.5377358491
1967,6,9.0377358491
1967,6,-3.9622641509
1967,6,13.5377358491
1967,6,-3.9622641509
1967,6,-3.9622641509
1967,6,23.4377358491
1967,6,-3.9622641509
1967,6,1.9377358491
1967,6,-3.9622641509
1967,6,-3.9622641509
1967,6,12.0377358491
1967,6,2.4377358491
1967,6,3.9377358491
1967,6,-1.4622641509
1967,6,-2.6622641509
1967,6,21.7377358491
1967,6,-3.4622641509
1967,6,237.6377358491
1967,6,62.6377358491
1967,6,6.7377358491
1967,7,-3.6622641509
1967,7,5.6377358491
1967,7,-2.8622641509
1967,7,14.3377358491
1967,7,10.6377358491
1967,7,58.8377358491
1967,7,10.2377358491
1967,7,2.1377358491
1967,7,5.1377358491
1967,7,-1.3622641509
1967,7,21.7377358491
1967,7,0.8377358491
1967,7,-3.9622641509
1967,7,-3.9622641509
1967,7,-3.9622641509
1967,7,-3.9622641509
1967,7,11.3377358491
1967,7,0.6377358491
1967,7,2.1377358491
1967,7,-3.4622641509
1967,7,8.8377358491
1967,7,19.2377358491
1967,7,5.4377358491
1967,7,-2.4622641509
1967,7,2.7377358491
1967,7,5.1377358491
1967,7,2.8377358491
1967,7,8.2377358491
1967,7,4.2377358491
1967,7,4.0377358491
1967,7,26.2377358491
1967,8,40.5377358491
1967,8,65.9377358491
1967,8,104.0377358491
1967,8,30.6377358491
1967,8,18.2377358491
1967,8,0.9377358491
1967,8,15.0377358491
1967,8,13.0377358491
1967,8,-3.1622641509
1967,8,-2.1622641509
1967,8,5.5377358491
1967,8,8.6377358491
1967,8,23.7377358491
1967,8,89.9377358491
1967,8,13.7377358491
1967,8,-3.9622641509
1967,8,11.5377358491
1967,8,32.0377358491
1967,8,61.7377358491
1967,8,1.9377358491
1967,8,-3.9622641509
1967,8,-3.9622641509
1967,8,35.0377358491
1967,8,-3.6622641509
1967,8,15.6377358491
1967,8,77.3377358491
1967,8,39.9377358491
1967,8,262.1377358491
1967,8,63.3377358491
1967,8,3.7377358491
1967,8,4.7377358491
1967,9,20.7377358491
1967,9,3.6377358491
1967,9,15.3377358491
1967,9,-0.8622641509
1967,9,-0.0622641509
1967,9,44.5377358491
1967,9,-1.1622641509
1967,9,-0.1622641509
1967,9,18.4377358491
1967,9,22.0377358491
1967,9,9.0377358491
1967,9,38.2377358491
1967,9,7.1377358491
1967,9,18.4377358491
1967,9,18.3377358491
1967,9,2.9377358491
1967,9,36.6377358491
1967,9,20.1377358491
1967,9,1.1377358491
1967,9,-0.1622641509
1967,9,30.3377358491
1967,9,-0.1622641509
1967,9,12.0377358491
1967,9,6.4377358491
1967,9,5.7377358491
1967,9,-3.9622641509
1967,9,6.0377358491
1967,9,-3.9622641509
1967,9,-3.9622641509
1967,9,-1.4622641509
1968,5,-3.9622641509
1968,5,-3.9622641509
1968,5,-3.9622641509
1968,5,-3.9622641509
1968,5,-1.4622641509
1968,5,19.9377358491
1968,5,-1.6622641509
1968,5,16.1377358491
1968,5,10.3377358491
1968,5,0.6377358491
1968,5,6.7377358491
1968,5,18.9377358491
1968,5,-3.4622641509
1968,5,-3.9622641509
1968,5,-2.9622641509
1968,5,5.4377358491
1968,5,13.5377358491
1968,5,32.3377358491
1968,5,24.0377358491
1968,5,-3.6622641509
1968,5,-3.9622641509
1968,5,-3.4622641509
1968,5,-2.4622641509
1968,5,1.6377358491
1968,5,-3.9622641509
1968,5,-3.6622641509
1968,5,0.6377358491
1968,5,42.5377358491
1968,5,-2.8622641509
1968,5,-0.6622641509
1968,5,13.8377358491
1968,6,2.1377358491
1968,6,-2.6622641509
1968,6,55.0377358491
1968,6,-2.8622641509
1968,6,5.4377358491
1968,6,10.5377358491
1968,6,11.8377358491
1968,6,98.1377358491
1968,6,4.7377358491
1968,6,2.1377358491
1968,6,-3.9622641509
1968,6,-0.8622641509
1968,6,-1.4622641509
1968,6,-3.9622641509
1968,6,40.4377358491
1968,6,5.4377358491
1968,6,-1.9622641509
1968,6,-2.9622641509
1968,6,-3.9622641509
1968,6,-0.6622641509
